Y,X,name,state,population
33.544124,-112.068832,PHOENIX,AZ,983403
38.566454,-121.46627,SACRAMENTO,CA,369365
39.151708,-119.726785,CARSON CITY,NV,40443
44.923198,-123.02159,SALEM,OR,107786
47.04088,-122.892473,OLYMPIA,WA,33840
40.777089,-111.928412,SALT LAKE CITY,UT,159936
43.606083,-116.226878,BOISE,ID,125738
46.596902,-112.019449,HELENA,MT,24346
35.67763,-105.954486,SANTA FE,NM,55993
39.762974,-104.874057,DENVER,CO,467610
41.146055,-104.792418,CHEYENNE,WY,50008
46.804885,-100.766879,BISMARCK,ND,49256
30.304832,-97.751118,AUSTIN,TX,465577
30.451254,-91.122909,BATON ROUGE,LA,219531
32.319717,-90.20889,JACKSON,MS,196594
32.352929,-86.283332,MONTGOMERY,AL,187106
30.457057,-84.281239,TALLAHASSEE,FL,124773
35.467086,-97.513703,OKLAHOMA CITY,OK,444730
40.816673,-96.687064,LINCOLN,NE,191972
34.723185,-92.355358,LITTLE ROCK,AR,175781
39.037792,-95.691528,TOPEKA,KS,119883
41.577269,-93.619161,DES MOINES,IA,193187
44.374745,-100.320389,PIERRE,SD,12906
44.949202,-93.105553,ST. PAUL,MN,272235
38.572222,-92.19244,JEFFERSON CITY,MO,35494
39.789435,-89.649323,SPRINGFIELD,IL,105227
36.172662,-86.792119,NASHVILLE-DAVIDSON,TN,488518
33.763174,-84.42182,ATLANTA,GA,394017
39.775556,-86.145143,INDIANAPOLIS,IN,731321
38.1918,-84.86528,FRANKFORT,KY,25968
43.079577,-89.385018,MADISON,WI,191262
42.710385,-84.554881,LANSING,MI,127321
34.035245,-80.890176,COLUMBIA,SC,98052
39.988675,-82.986294,COLUMBUS,OH,632958
38.35131,-81.63102,CHARLESTON,WV,57287
35.821907,-78.659617,RALEIGH,NC,207951
37.529292,-77.476216,RICHMOND,VA,203056
38.970684,-76.504685,ANNAPOLIS,MD,33187
39.158659,-75.51704,DOVER,DE,27529
40.276356,-76.87772,HARRISBURG,PA,52376
40.223934,-74.763201,TRENTON,NJ,88675
41.765811,-72.684865,HARTFORD,CT,139739
41.823838,-71.422131,PROVIDENCE,RI,160728
42.666873,-73.799814,ALBANY,NY,101082
43.231041,-71.559666,CONCORD,NH,36006
44.265784,-72.57217,MONTPELIER,VT,8247
42.315041,-71.091375,BOSTON,MA,574283
44.334375,-69.735036,AUGUSTA,ME,21325